legacy_id,name,firm,practice,date,award
1330359,,Skadden,['Product Liability'],2020,Practice Groups Of The Year
1330356,,Orrick Herrington,['Project Finance'],2020,Practice Groups Of The Year
1330355,,Motley Rice,['Product Liability'],2020,Practice Groups Of The Year
1330350,,O'Melveny & Myers,['Project Finance'],2020,Practice Groups Of The Year
1330347,,Munger Tolles,['Media & Entertainment'],2020,Practice Groups Of The Year
1330345,,King & Spalding,['Product Liability'],2020,Practice Groups Of The Year
1330311,,Skadden,['Benefits'],2020,Practice Groups Of The Year
1330310,,Mayer Brown,['Banking'],2020,Practice Groups Of The Year
1330307,,Mayer Brown,['Benefits'],2020,Practice Groups Of The Year
1330306,,Latham & Watkins,['Banking'],2020,Practice Groups Of The Year
1329924,,Morgan Lewis,['Project Finance'],2020,Practice Groups Of The Year
1329923,,Gibson Dunn,['Media & Entertainment'],2020,Practice Groups Of The Year
1329920,,Covington & Burling,['Product Liability'],2020,Practice Groups Of The Year
1329918,,Mayer Brown,['Project Finance'],2020,Practice Groups Of The Year
1329914,,Davis Wright Tremaine,['Media & Entertainment'],2020,Practice Groups Of The Year
1329557,,King & Spalding,['International Arbitration'],2020,Practice Groups Of The Year
1329469,,O'Melveny & Myers,['Media & Entertainment'],2020,Practice Groups Of The Year
1329404,,Keller Rohrback,['Benefits'],2020,Practice Groups Of The Year
1329402,,Cravath Swaine,['Banking'],2020,Practice Groups Of The Year
1329400,,Williams & Connolly,['Appellate'],2020,Practice Groups Of The Year
1329399,,Weil Gotshal,['Bankruptcy'],2020,Practice Groups Of The Year
1329347,,Quinn Emanuel,['Intellectual Property'],2020,Practice Groups Of The Year
1329345,,Hogan Lovells,['International Trade'],2020,Practice Groups Of The Year
1329343,,Cohen Milstein,['Life Sciences'],2020,Practice Groups Of The Year
1329340,,Mayer Brown,['Intellectual Property'],2020,Practice Groups Of The Year
1329338,,Crowell & Moring,['International Trade'],2020,Practice Groups Of The Year
1329335,,Arnold & Porter,['Life Sciences'],2020,Practice Groups Of The Year
1329333,,Kirkland & Ellis,['Intellectual Property'],2020,Practice Groups Of The Year
1329052,,Baum Hedlund,['Product Liability'],2020,Practice Groups Of The Year
1329051,,Simpson Thacher,['Private Equity'],2020,Practice Groups Of The Year
1329050,,Ropes & Gray,['Private Equity'],2020,Practice Groups Of The Year
1329049,,Paul Weiss,['Private Equity'],2020,Practice Groups Of The Year
1329004,,DLA Piper,['Telecommunications'],2020,Practice Groups Of The Year
1329003,,Crowell & Moring,['Transportation'],2020,Practice Groups Of The Year
1328920,,Covington & Burling,['Technology'],2020,Practice Groups Of The Year
1328912,,Sullivan & Cromwell,['White Collar'],2020,Practice Groups Of The Year
1328898,,Davis Polk,['Private Equity'],2020,Practice Groups Of The Year
1328896,,Wachtell Lipton,['Mergers & Acquisitions'],2020,Practice Groups Of The Year
1328895,,Latham & Watkins,['Private Equity'],2020,Practice Groups Of The Year
1328892,,Skadden,['Mergers & Acquisitions'],2020,Practice Groups Of The Year
